#PDB_ID
#5C0Z
#5AN5
5AN7
5AMX
5AMH
5ANV
5AOT
5AOU
5AOZ
5B28
6BEV
6BG3
6BG5
6BIO
6BID
6BO0
6BQA
3GYI
3GYJ
3HD2
3DQY
3E2O
3E4G
3E6Z
1D2U
6EUM
6F81
6EAU
6EAT
6EAX
6EF7
6EEY
6EEX
5G18
5FOT
5G38
5JEP
5JG5
5JGS
5JGT
5JH8
5JIG
5JK4
6T0P
6T02
6SPO
6T1B
6SP6
6T0Y
2EU7
2EU2
2EUT
2EVW
4FPT
4FR9
4FRU
4FRV
4FS7
4FRC
4FU5
4G78
4G8C
4FVN
4FVO
4G9E
4G9S
4GA0
4GA1
4GA2
4GCA
4GF6
4GHO
4GJZ
4GMU
4GNU
4H07
4GNW
4GS3
4GRJ
4H4J
4H4N
4H7W
4H9A
4H9B
4H9C
4H8X
4H8Y
4H8Z
4H90
4H94
4H9E
4GZN
4HCJ
4HBT
4HBU
4HE5
4HE6
4HF3
4HGU
4GNR
4GOG
4GQR
3URC
3URD
3UAD
3UE7
3UF7
3UI4
3UI6
3UJC
3ULJ
3V0D
3UNR
3V1A
3V7X
3VBD
3VGI
3VHG
3VIN
3VIO
3VIF
3VIG
3VIH
3VII
3VIJ
3VIK
3VIL
3VIM
3VJQ
3VLA
3VL9
3VN3
3W06
3VPL
3VOR
3VQF
3W4O
3W42
3W5H
3W4P
3W4Q
3VUP
4J9C
4J9F
4IZX
4JCK
4JCC
4JFI
4JFJ
4JFK
4JFL
4JFM
4JER
4JF5
4JHT
4JIU
4JJ7
4JK8
4JL7
4JMW
4K12
4JP6
4JP7
4K0W
4JOJ
4JOK
4JOE
4JOF
4JPM
4JRU
4K8Y
4JZ5
4KAG
4KEF
4KEL
4KJJ
4L05
4KNK
4L1I
4KQP
4GQL
4HL2
4HKL
4HK8
4HNO
4HP0
4HPI
4HRO
4HS1
4I3B
4HSX
4I4O
4I62
4HTK
4HUA
4HVU
4HVV
4HVW
4I8K
4I8L
4I8G
4I8H
4I8J
4HY7
4HZ8
4IAU
4IVV
4ID4
4IGI
4IHK
4IHN
4IGS
4INW
4IPS
4IPM
4J1P
4ITO
4J5O
4ITK
4J5C
4J5E
4J74
4NET
4NGJ
4NG8
4NI6
4NIV
4NKC
4NLM
4NNO
4O0A
4O06
4NPD
4NQR
4NR7
4NS2
4O6U
4O6Q
4NV3
4NUD
4NVB
4NX7
4O8H
4NY6
4NYX
4NYQ
4NYH
4NZU
4OB0
4OAT
4OD6
4OG2
4OMO
4OO4
4OP5
4OOY
4OQI
4P40
4P3R
4P5R
4P5S
3MRE
3MU4
3MTY
3MVS
3NCL
3NED
3NDS
3NE0
3NGP
3NIR
3NKK
3NK8
3ODV
3OG2
3O4P
3O5Q
3O5R
3O5O
3O5P
3NVS
3O89
3NYC
3NZL
3OBL
3ODD
3ODF
3OD3
3ONC
3P4H
3P74
3OV5
3P6D
3P6E
3P6F
3P6G
3P6H
3P84
3P7Y
3P80
3P81
3P8G
3P8I
3P8J
3PB6
3PB8
3PB9
3PB4
3PFZ
3PLB
3PL3
3PSM
3PUC
3Q8J
4PF3
4PF4
4PM8
4Q06
4Q07
4Q08
4Q09
4PR4
4Q27
4PQ9
4PRR
4PRT
4OY5
4PA8
4PAK
4PBH
4PSS
4PST
4Q4G
4PSC
4Q68
4PTH
4PTJ
4PSY
4PUU
4PUW
4Q78
4Q6D
4Q6E
4Q7B
4Q9W
4PYM
4PYN
4PZH
4QA8
4QB3
4QBX
4QER
4QEM
4QI8
4QKZ
4QL3
4QMC
4QLP
3W9V
3VZ9
3WAR
3WCQ
3WDN
